TID;SERIALNUM;VERSION;CAPABILITIES;CRC;TERMINALTYPE;COMMTYPE;CONNECTIONTYPE;NEXTFIRMUPDATE;GROUPID;PRODENABLED;MODEL;BANK;LASTCOMM;LASTUPDATE;Cliente
554291;2K554291;400;;;;;;;;;;;14/05/2018 11:05;;
589632;2K589632;400;;;;;;;;;;;16/05/2018 11:22;;
589639;2K589639;400;;;;;;;;;;;16/05/2018 16:22;;
589646;2K589646;400;;;1;2;1;17/05/2018 02:49;;True;T1000;Parcela Ja;16/05/2018 22:09;24/04/2018 22:53;Centro Optico de Setubal
589647;2K589647;400;;;1;2;1;17/05/2018 08:26;;True;T1000;Parcela Ja;16/05/2018 22:22;16/05/2018 22:22;Mike Davis Setubal
589649;2K589649;400;;;;;;;;;;;16/05/2018 23:23;;
589654;2K589654;400;;;;;;;;;;;17/05/2018 01:34;;
589683;2K589683;400;;;;;;;;;;;16/05/2018 16:41;;
589684;2K589684;400;;;;;;;;;;;17/05/2018 00:02;;
621631;2K621631;400;;;1;2;1;17/05/2018 01:48;;True;T1000;Parcela Ja;16/05/2018 21:08;16/05/2018 21:08;Mike Davis Gaia Shopping
621638;2K621638;400;;;1;2;1;18/05/2018 04:18;;True;T1000;Parcela Ja;16/05/2018 03:21;25/04/2018 05:55;Mike Davis Viana do Castelo
622250;2K622250;400;;;;;;;;;;;16/05/2018 22:49;;
622253;2K622253;400;;;1;9;1;17/05/2018 04:45;;True;T1000;Parcela Ja;16/05/2018 19:06;16/05/2018 19:06;Lourenco Turismo
622255;2K622255;400;;;;;;;;;;;16/05/2018 10:45;;
622260;2K622260;400;;;1;9;1;16/05/2018 23:48;;True;T1000;Parcela Ja;16/05/2018 23:13;25/04/2018 10:47;Opticas Portugal Palmela
622261;2K622261;400;;;1;9;1;18/05/2018 05:58;;True;T1000;Parcela Ja;17/05/2018 01:25;25/04/2018 06:07;Opticas Portugal Setubal
622263;2K622263;400;;;;;;;;;;;16/05/2018 18:28;;
622591;2K622591;400;;;1;9;1;17/05/2018 06:55;;True;T1000;Parcela Ja;16/05/2018 18:16;17/10/2017 15:11;Opticalia Valongo
622621;2K622621;400;;;;;;;;;;;16/05/2018 12:00;;
563030;2K563030;306;;;1;2;1;25/04/2018 00:12;;True;T1000;Parcela Ja;24/04/2018 17:57;24/04/2018 17:57;TestesGP
589650;2K589650;306;;;;;;;;;;;16/05/2018 10:13;;
589651;2K589651;306;;;1;2;1;17/05/2018 07:14;;False;T1000;Parcela Ja;16/05/2018 02:10;25/04/2018 21:50;Mike Davis Forum Sintra
589652;2K589652;306;;;1;2;1;17/05/2018 02:43;;False;T1000;Parcela Ja;16/05/2018 08:10;25/04/2018 04:37;Mike Davis Santarem
589670;2K589670;306;;;1;9;1;17/05/2018 03:07;;True;T1000;Parcela Ja;16/05/2018 08:24;16/05/2018 08:24;VLX
589671;2K589671;306;;;;;;;;;;;17/05/2018 01:51;;
589676;2K589676;306;;;1;9;1;17/05/2018 02:33;;True;T1000;Parcela Ja;16/05/2018 00:23;16/05/2018 00:23;Centro Optico Casa Branca
589677;2K589677;306;;;1;9;1;12/05/2018 06:14;;False;T1000;Parcela Ja;11/05/2018 10:08;26/04/2018 13:15;Popking Sines
589678;2K589678;306;;;1;9;1;05/05/2018 06:08;;False;T1000;Parcela Ja;04/05/2018 01:52;25/04/2018 21:30;Centro Optico de Santo Andre
589680;2K589680;306;;;;;;;;;;;08/05/2018 11:34;;
589681;2K589681;306;;;;;;;;;;;04/05/2018 06:15;;
589682;2K589682;306;;;;;;;;;;;16/05/2018 00:19;;
589685;2K589685;306;;;;;;;;;;;01/05/2018 09:38;;
589688;2K589688;306;;;1;9;1;30/04/2018 06:16;;False;T1000;Parcela Ja;29/04/2018 05:00;25/04/2018 00:59;Optivisao Saldanha
589692;2K589692;306;;;;;;;;;;;16/05/2018 09:59;;
621630;2K621630;306;;;1;2;1;17/05/2018 07:59;;False;T1000;Parcela Ja;16/05/2018 02:30;25/04/2018 07:53;Mike Davis 8 Avenida
621633;2K621633;306;;;1;2;1;17/05/2018 10:23;;False;T1000;Parcela Ja;16/05/2018 08:45;25/04/2018 06:36;Mike Davis Vila do Conde
621634;2K621634;306;;;1;2;1;16/05/2018 10:38;;False;T1000;Parcela Ja;15/05/2018 09:31;25/04/2018 09:53;Mike Davis Maia Shopping
621643;2K621643;306;;;;;;;;;;;16/05/2018 09:35;;
621647;2K621647;306;;;1;2;1;17/05/2018 00:18;;False;T1000;Parcela Ja;16/05/2018 04:59;25/04/2018 02:24;Mike Davis Nazare
621649;2K621649;306;;;1;2;1;17/05/2018 01:01;;False;T1000;Parcela Ja;16/05/2018 05:23;24/04/2018 22:20;Mike Davis Figueira da Foz
621651;2K621651;306;;;1;2;1;26/04/2018 04:08;;True;T1000;Parcela Ja;25/04/2018 06:27;25/04/2018 06:27;Mike Davis Vasco da Gama
621652;2K621652;306;;;1;2;1;17/05/2018 04:46;;False;T1000;Parcela Ja;16/05/2018 00:21;25/04/2018 00:33;Mike Davis Guarda
621653;2K621653;306;;;1;2;1;17/05/2018 01:20;;False;T1000;Parcela Ja;16/05/2018 04:26;25/04/2018 02:09;Mike Davis Covilha
622243;2K622243;306;;;;;;;;;;;16/05/2018 00:38;;
622244;2K622244;306;;;1;9;1;17/05/2018 00:11;;False;T1000;Parcela Ja;16/05/2018 08:27;25/04/2018 04:02;VLX Amadora
622246;2K622246;306;;;1;9;1;14/05/2018 08:21;;False;T1000;Parcela Ja;13/05/2018 10:01;25/04/2018 01:50;Volta Mundo
622247;2K622247;306;;;1;9;1;28/04/2018 05:47;;True;T1000;Parcela Ja;27/04/2018 03:42;25/04/2018 09:45;Roytur
622248;2K622248;306;;;1;9;1;04/05/2018 23:38;;False;T1000;Parcela Ja;04/05/2018 06:21;25/04/2018 03:10;Nova Visao Vila Flor
622251;2K622251;306;;;1;9;1;17/05/2018 10:34;;False;T1000;Parcela Ja;16/05/2018 07:19;25/04/2018 06:43;Novo Oculista Camarate
